siteID,spp,year,bandNumber,colorL,colorR
ANDEBRUPA1,GRCA,2015.0,2651-56522,X,MO
ANDEBRUPA1,HOWR,2016.0,2750-45331,X,BO
ANDEBRUPA1,NOCA,2014.0,2641-97072,BY,X
ANDEBRUPA1,NOCA,2014.0,2641-97073,G,XG
ANDEBRUPA1,NOCA,2014.0,2641-97074,O,BX
ANDEBRUPA1,NOCA,2014.0,2641-97075,R,XR
ANDEBRUPA1,NOCA,2014.0,2641-97076,W,XB
ANDEBRUPA1,NOCA,2014.0,2641-97077,X,OG
ANDEBRUPA1,NOCA,2014.0,2641-97078,XR,Y
ANDEBRUPA1,NOCA,2015.0,2651-56521,WG,X
ANDEBRUPA1,NOCA,2015.0,2651-56523,XB,R
ANDEBRUPA1,NOCA,2016.0,2701-39422,GX,P
ANDEBRUPA1,NOCA,2016.0,2701-39423,GX,P
ANDEBRUPA1,RBGR,2014.0,1232-87986,X,-
ANDEBRUPA1,SOSP,2014.0,266-18056,R,XR
ANDEBRUPA1,SOSP,2014.0,266-18057,X,WB
ANDEBRUPA1,SOSP,2014.0,266-18058,X,WW
ANDEBRUPA1,SOSP,2014.0,266-18059,X,RB
ANDEBRUPA1,SOSP,2015.0,2711-77224,WG,X
ANDEBRUPA1,SOSP,2016.0,2741-54832,XM,-
ANDEBRUPA1,UNCH,2014.0,2730-26363,O,BX
ANDEBRUPA1,UNCH,2014.0,2730-26364,X,OG
ANDEHALMA1,BCCH,2013.0,2690-87716,YM,X
ANDEHALMA1,BCCH,2014.0,2720-99540,GW,X
ANDEHALMA1,GRCA,2012.0,1891-11024,OB,X
ANDEHALMA1,GRCA,2016.0,2651-43447,X,KY
ANDEMIKMD1,CACH,2002.0,2250-90417,GR,X
ANDEMIKMD1,CACH,2002.0,2250-90418,OX,K
ANDEMIKMD1,CACH,2003.0,1950-50463,MX,W
ANDEMIKMD1,CACH,2003.0,1950-50462,BX,Y
ANDEMIKMD1,CACH,2007.0,2460-22906,XR,B
ANDEMIKMD1,CACH,2009.0,2590-82520,X,WM
ANDEMIKMD1,CARW,2001.0,1721-48504,X,RO
ANDEMIKMD1,CARW,2003.0,4501-87501,Y,XB
ANDEMIKMD1,CARW,2005.0,2241-17604,X,GW
ANDEMIKMD1,CARW,2007.0,2281-69102,WY,X
ANDEMIKMD1,CARW,2008.0,2301-55922,MX,W
ANDEMIKMD1,CARW,2008.0,2251-80093,R,XB
ANDEMIKMD1,CARW,2009.0,2441-14010,XK,G
ANDEMIKMD1,NOCA,2002.0,8001-21416,GM,X
ANDEMIKMD1,NOCA,2007.0,2301-56005,BX,B
ANDEMIKMD1,NOCA,2007.0,2301-56004,MX,B
ANDEMIKMD1,NOCA,2008.0,2301-55921,KR,X
ANDEMIKMD1,NOCA,2008.0,2301-55920,OX,B
ANDEMIKMD1,NOCA,2009.0,2411-37223,XP,P
ANDEREBGA1,AMRO,2014.0,1272-42433,B,WX
ANDEREBGA1,BRTH,2014.0,1272-42432,R,OX
ANDEREBGA1,NOCA,2014.0,2641-63332,X,WO
ANDEREBGA1,SOSP,2014.0,2661-07941,X,RR
ANDRJENFL1,CACH,2013.0,2640-61830,M,RX
ANDRJENFL1,CACH,2014.0,2640-61833,OX,O
ANDRJENFL1,CARW,2012.0,2571-70421,B,XG
ANDRJENFL1,CARW,2012.0,2571-70422,XY,Y
ANDRJENFL1,CARW,2013.0,2661-07643,MX,G
ANDRJENFL1,CARW,2014.0,2661-31323,R,BX
ANDRJENFL1,CARW,2015.0,2661-07833,XB,R
ANDRJENFL1,NOCA,2012.0,1991-18021,W,MX
ANDRJENFL1,NOCA,2013.0,2331-09325,GW,X
ANDRJENFL1,NOCA,2013.0,2331-09326,XR,W
ANDRJENFL1,NOMO,2013.0,1292-71316,XY,B
ANDRJENFL1,TUTI,2013.0,2661-07642,YO,X
ANDRJENFL1,TUTI,2013.0,2661-07644,X,OY
ANDRJENFL1,TUTI,2013.0,2661-07645,M,WX
ANDRKENVA1,AMRO,2008.0,1232-87906,-,X
ANDRKENVA1,CACH,2001.0,2250-24267,XW,W
ANDRKENVA1,CACH,2001.0,2250-24268,RR,X
ANDRKENVA1,CACH,2002.0,2250-24331,BY,X
ANDRKENVA1,CACH,2007.0,2400-00683,M,XM
ANDRKENVA1,CACH,2008.0,2540-63003,R,XB
ANDRKENVA1,CACH,2008.0,2540-63004,X,GO
ANDRKENVA1,CACH,2015.0,2710-54380,WR,X
ANDRKENVA1,CACH,2016.0,2750-64344,B,YX
ANDRKENVA1,CARW,2001.0,1141-05628,XG,W
ANDRKENVA1,CARW,2003.0,8001-77905,YY,X
ANDRKENVA1,CARW,2004.0,4501-87454,O,XB
ANDRKENVA1,CARW,2004.0,4501-87453,M,XM
ANDRKENVA1,CARW,2005.0,2241-18002,XR,G
ANDRKENVA1,CARW,2010.0,2341-29377,P,XR
ANDRKENVA1,CARW,2013.0,2571-90129,K,BX
ANDRKENVA1,CARW,2014.0,2571-89932,MY,X
ANDRKENVA1,CARW,2014.0,2571-89933,X,OG
ANDRKENVA1,CARW,2014.0,2571-89934,X,YP
ANDRKENVA1,CARW,2016.0,2741-54624,O,XB
ANDRKENVA1,GRCA,2007.0,1951-41070,O,RX
ANDRKENVA1,HOWR,2001.0,2250-24266,X,BG
ANDRKENVA1,HOWR,2005.0,2400-00652,XY,R
ANDRKENVA1,HOWR,2005.0,2400-00653,XW,R
ANDRKENVA1,HOWR,2008.0,2540-63001,MG,X
ANDRKENVA1,HOWR,2008.0,2540-63002,XG,W
ANDRKENVA1,HOWR,2014.0,2710-54338,OB,X
ANDRKENVA1,HOWR,2014.0,2710-54339,PK,X
ANDRKENVA1,HOWR,2015.0,2710-54381,M,YX
ANDRKENVA1,HOWR,2016.0,2750-64343,X,WO
ANDRKENVA1,NOCA,2001.0,8001-21306,W,XK
ANDRKENVA1,NOCA,2004.0,1891-87303,X,OY
ANDRKENVA1,NOCA,2009.0,2411-37306,X,BY
ANDRKENVA1,NOCA,2010.0,2421-11473,XG,M
ANDRKENVA1,NOCA,2015.0,2641-96871,PX,O
ANDRKENVA1,SOSP,2015.0,2571-89992,XR,R
ARABMOUGA1,AMRO,2014.0,1272-42472,G,YX
ARABMOUGA1,NOMO,2014.0,1272-42472,X,X
ARCADIAMA1,AMRO,2015.0,1352-63577,XM,Y
ARCADIAMA1,BCCH,2015.0,2750-35099,Y,PX
ARCADIAMA1,BCCH,2015.0,2750-35142,X,MK
ARCADIAMA1,BCCH,2015.0,2750-35143,Y,XM
ARCADIAMA1,BCCH,2016.0,2780-14624,MX,B
ARCADIAMA1,CARW,2015.0,2571-83145,XO,O
ARCADIAMA1,GRCA,2015.0,2651-17066,XY,B
ARCADIAMA1,GRCA,2015.0,2651-17067,XY,P
ARCADIAMA1,GRCA,2015.0,2651-17063,K,XM
ARCADIAMA1,GRCA,2015.0,2651-17065,R,XG
ARCADIAMA1,GRCA,2015.0,2651-17064,W,BX
ARCADIAMA1,GRCA,2015.0,2651-17189,X,WK
ARCADIAMA1,GRCA,2015.0,2651-17191,X,WM
ARCADIAMA1,GRCA,2015.0,2651-17188,BP,X
ARCADIAMA1,GRCA,2015.0,2651-17194,GG,X
ARCADIAMA1,GRCA,2015.0,2651-17192,OB,X
ARCADIAMA1,GRCA,2015.0,2651-17193,R,XR
ARCADIAMA1,GRCA,2016.0,2651-43365,XP,P
ARCADIAMA1,GRCA,2016.0,2651-65660,W,XE
ARCADIAMA1,NOCA,2015.0,2651-17186,X,KR
ARCADIAMA1,NOCA,2015.0,2651-17190,G,XR
ARCADIAMA1,NOCA,2015.0,2651-17187,MO,X
ARCADIAMA1,NOCA,2016.0,2651-43363,XR,G
ARCADIAMA1,NOCA,2016.0,2651-43364,WX,B
ARCADIAMA1,NOCA,2016.0,2651-65659,Y,OX
ARCADIAMA1,SOSP,2015.0,2291-44239,R,WX
ARCADIAMA1,SOSP,2016.0,2571-83096,GX,Y
ARCADIAMA1,SOSP,2016.0,2571-83227,XG,M
ARCADIAMA1,SOSP,2016.0,2571-83228,X,GK
ARCADIAMA1,SOSP,2016.0,2571-83229,W,XK
ARCADIAMA1,SOSP,2016.0,2571-83230,OX,K
ARGEGIONC1,CARW,2015.0,2711-64043,RG,X
ARGEGIONC1,HOWR,2015.0,2180-92421,G,XY
ARGEGIONC1,HOWR,2016.0,2750-51222,W,XB
ARGEGIONC1,NOMO,2016.0,1352-92408,YO,X
ARGYLESGA1,HOFI,2016.0,2711-58007,-,UNK
ARGYLESGA1,HOFI,2016.0,2711-58008,-,UNK
ARGYLESGA1,HOFI,2016.0,2711-58009,-,UNK
ARGYLESGA1,SOSP,2015.0,2711-54824,B,XR
ARGYLESGA1,TUTI,2015.0,2711-54821,YY,X
ARGYLESGA1,TUTI,2015.0,2711-54822,B,KX
ARGYLESGA1,TUTI,2015.0,2711-54823,R,WX
ARLINESVA1,AMRO,2016.0,1352-46115,M,PX
ARLINESVA1,GRCA,2016.0,2641-96699,XY,G
ARLINESVA1,SOSP,2016.0,2541-40482,X,RM
ARNDKARPA1,AMRO,2015.0,1342-74131,X,-
ARNDKARPA1,CACH,2015.0,2750-64049,Y,YX
ARNDKARPA1,CACH,2015.0,2750-64050,XO,O
ARNDKARPA1,CACH,2015.0,2750-64051,XB,K
ARNDKARPA1,CACH,2015.0,2750-64052,X,GR
ARNDKARPA1,CACH,2015.0,2750-64053,WX,P
ARNDKARPA1,CACH,2015.0,2750-64054,PX,B
ARNDKARPA1,CARW,2015.0,2711-77264,Y,XW
ARNDKARPA1,NOCA,2015.0,2651-56569,WX,P
ARNDKARPA1,SOSP,2015.0,2711-77265,YB,X
ARNDKARPA1,SOSP,2015.0,2711-77266,WX,P
ASSMCARMD1,AMRO,2009.0,1202-99075,WK,X
ASSMCARMD1,AMRO,2009.0,1202-99076,MX,O
ASSMCARMD1,AMRO,2010.0,1272-43119,PG,X
ASSMCARMD1,AMRO,2010.0,1272-43120,XP,B
ASSMCARMD1,AMRO,2010.0,1272-43118,PY,X
ASSMCARMD1,AMRO,2010.0,1272-43117,PX,P
ASSMCARMD1,AMRO,2012.0,1292-64271,GR,X
ASSMCARMD1,AMRO,2014.0,1292-64556,K,MX
ASSMCARMD1,AMRO,2016.0,1352-46240,XG,Y
ASSMCARMD1,CACH,2008.0,2510-03842,W,XO
ASSMCARMD1,CACH,2013.0,2590-82167,MW,X
ASSMCARMD1,CACH,2016.0,2810-03342,O,XY
ASSMCARMD1,CACH,2016.0,2810-03343,XB,G
ASSMCARMD1,CARW,2008.0,2341-29332,X,YB
ASSMCARMD1,CARW,2008.0,2341-29331,X,YK
ASSMCARMD1,CARW,2014.0,2341-30150,W,XG
ASSMCARMD1,CARW,2016.0,2711-77569,O,XM
ASSMCARMD1,CARW,2016.0,2711-77570,R,YX
ASSMCARMD1,CARW,2016.0,2711-77572,XB,K
ASSMCARMD1,GRCA,2007.0,1991-46167,M,XP
ASSMCARMD1,GRCA,2008.0,2301-56537,OX,WO
ASSMCARMD1,GRCA,2008.0,2301-56533,OX,WM
ASSMCARMD1,GRCA,2009.0,2411-37708,X,PK
ASSMCARMD1,GRCA,2009.0,2411-37709,BX,P
ASSMCARMD1,GRCA,2010.0,2421-11729,R,XW
ASSMCARMD1,GRCA,2010.0,2421-11727,XY,W
ASSMCARMD1,GRCA,2010.0,2421-11728,GR,X
ASSMCARMD1,GRCA,2012.0,2421-11488,B,MX
ASSMCARMD1,GRCA,2014.0,2641-63867,X,GP
ASSMCARMD1,GRCA,2014.0,2641-63868,K,OX
ASSMCARMD1,GRCA,2016.0,2651-47576,KX,KG
ASSMCARMD1,NOCA,2007.0,1991-46166,XO,M
ASSMCARMD1,NOCA,2008.0,2301-56536,X,KB
ASSMCARMD1,NOCA,2008.0,2301-56535,G,XG
ASSMCARMD1,NOCA,2008.0,2301-56534,X,OW
ASSMCARMD1,NOCA,2009.0,2411-37710,OR,X
ASSMCARMD1,NOCA,2010.0,2421-11730,MX,B
ASSMCARMD1,NOCA,2010.0,2421-11726,BX,W
ASSMCARMD1,NOCA,2012.0,2421-11487,GB,X
ASSMCARMD1,NOCA,2012.0,2421-11486,XB,R
ASSMCARMD1,NOCA,2013.0,2641-63634,XK,R
ASSMCARMD1,NOCA,2013.0,2641-63635,GX,K
ASSMCARMD1,NOCA,2015.0,2421-11344,P,BX
ASSMCARMD1,NOCA,2016.0,2651-47577,XY,R
ASSMCARMD1,SOSP,2007.0,2261-38347,XY,G
ASSMCARMD1,SOSP,2007.0,2261-38348,B,WX
ASSMCARMD1,SOSP,2013.0,2441-96528,XP,R
ASSMCARMD1,SOSP,2014.0,2341-30151,XW,M
ASSMCARMD1,TUTI,2016.0,2711-77571,XB,R
ASTOLAUGA1,CARW,2016.0,2711-57720,O,BX
ASTOLAUGA1,CARW,2016.0,2711-57723,M,XO
ASTOLAUGA1,NOCA,2016.0,2651-52441,GX,W
ASTOLAUGA1,SOSP,2014.0,2661-31833,X,MB
ASTOLAUGA1,SOSP,2015.0,2711-54833,OB,X
ASTOLAUGA1,SOSP,2015.0,2711-54834,RX,W
ATHEJIMMA1,AMRO,2014.0,1352-63502,K,KX
ATHEJIMMA1,AMRO,2014.0,1352-63503,RY,X
ATHEJIMMA1,BCCH,2014.0,2720-99502,RX,W
ATHEJIMMA1,BCCH,2015.0,2720-99609,XG,M
ATHEJIMMA1,BCCH,2015.0,2720-99610,XY,O
ATHEJIMMA1,BCCH,2016.0,2750-34980,B,MX
ATHEJIMMA1,BCCH,2016.0,2750-34981,P,XO
ATHEJIMMA1,BCCH,2016.0,2750-34982,W,NX
ATHEJIMMA1,CARW,2013.0,2371-04334,RG,X
ATHEJIMMA1,EAPH,2015.0,2720-99608,X,OY
ATHEJIMMA1,EAPH,2015.0,2720-99607,XW,W
ATHEJIMMA1,GRCA,2013.0,2561-86648,X,YY
ATHEJIMMA1,GRCA,2013.0,2561-86647,KX,B
ATHEJIMMA1,GRCA,2013.0,2561-86645,RX,M
ATHEJIMMA1,GRCA,2013.0,2561-86646,Y,OX
ATHEJIMMA1,GRCA,2014.0,2651-17001,RX,W
ATHEJIMMA1,GRCA,2015.0,2651-43210,X,WG
ATHEJIMMA1,GRCA,2015.0,2651-43211,KX,O
ATHEJIMMA1,GRCA,2015.0,2651-43212,MY,X
ATHEJIMMA1,GRCA,2015.0,2651-43213,Y,XR
ATHEJIMMA1,GRCA,2016.0,2651-43456,EX,B
ATHEJIMMA1,GRCA,2016.0,2651-43457,PE,X
ATHEJIMMA1,HOWR,2013.0,2690-87774,X,OB
ATHEJIMMA1,HOWR,2014.0,2720-99605,M,XG
ATHEJIMMA1,HOWR,2016.0,2750-34979,R,XW
ATHEJIMMA1,NOCA,2015.0,2651-43214,X,RB
ATHEJIMMA1,RBWO,2014.0,1352-63504,-,X
ATHEJIMMA1,SOSP,2013.0,2371-04333,X,OO
ATHEJIMMA1,SOSP,2013.0,2371-04331,XY,G
ATHEJIMMA1,SOSP,2013.0,2371-04332,BX,M
ATHEJIMMA1,SOSP,2013.0,2371-04330,R,OX
ATHEJIMMA1,SOSP,2014.0,2691-86601,K,KX
AUSTCLANC1,CACH,2015.0,2750-51214,Y,MX
AUSTCLANC1,CACH,2016.0,2180-92585,MX,W
AUSTCLANC1,CACH,2016.0,2180-92586,XB,K
AUSTCLANC1,CACH,2016.0,2180-92587,KX,W
AUSTCLANC1,CACH,2016.0,2180-92588,X,GW
AUSTCLANC1,CACH,2016.0,2180-92589,OX,W
AUSTCLANC1,CACH,2016.0,2180-92590,GM,X
AUSTCLANC1,CACH,2016.0,2180-92591,Y,KX
AUSTCLANC1,CACH,2016.0,2180-92592,BX,Y
AUSTCLANC1,NOCA,2015.0,851-39834,Y,MX
AUSTCLANC1,NOCA,2015.0,851-39835,O,GX
AUSTCLANC1,NOCA,2015.0,1352-92455,XW,O
AUSTCLANC1,NOCA,2015.0,851-39836,Y,XB
AUSTCLANC1,NOCA,2015.0,851-39837,YR,X
AUSTCLANC1,NOCA,2016.0,0851-39961,OM,X
AZARCARPA1,AMRO,2014.0,1232-87977,KO,X
AZARCARPA1,AMRO,2015.0,1342-74106,X,KM
AZARCARPA1,AMRO,2015.0,1342-74107,X,BR
AZARCARPA1,AMRO,2015.0,1342-74108,X,YP
AZARCARPA1,AMRO,2016.0,1342-45502,O,XP
AZARCARPA1,AMRO,2016.0,1342-45503,M,XM
AZARCARPA1,CACH,2015.0,2750-64007,G,XO
AZARCARPA1,CACH,2015.0,2750-64008,M,PX
AZARCARPA1,CACH,2016.0,2750-45301,P,PX
AZARCARPA1,CACH,2016.0,2750-45302,M,XR
AZARCARPA1,CARW,2013.0,2661-31444,X,WO
AZARCARPA1,CARW,2014.0,2541-40561,X,OK
AZARCARPA1,CARW,2015.0,2711-77209,RR,X
AZARCARPA1,CARW,2015.0,2711-77214,XO,O
AZARCARPA1,CHSP,2013.0,2710-53607,X,-
AZARCARPA1,GRCA,2016.0,2701-39407,G,MX
AZARCARPA1,HOFI,2013.0,2661-31443,X,-
AZARCARPA1,HOFI,2013.0,2661-31445,X,-
AZARCARPA1,NOCA,2013.0,2641-64045,MX,O
AZARCARPA1,NOCA,2013.0,2641-64046,GK,X
AZARCARPA1,NOCA,2014.0,2641-97046,X,KB
AZARCARPA1,NOCA,2016.0,2701-39408,X,MY
AZARCARPA1,NOCA,2016.0,2701-39409,X,MY
AZARCARPA1,SOSP,2013.0,2661-31442,G,YX
AZARCARPA1,SOSP,2014.0,2541-40560,BB,X
AZARCARPA1,SOSP,2015.0,2711-77207,M,BX
AZARCARPA1,SOSP,2015.0,2711-77208,RR,X
AZARCARPA1,SOSP,2015.0,2711-77209,RR,X
AZARCARPA1,SOSP,2015.0,2711-77210,W,OX
AZARCARPA1,SOSP,2015.0,2711-77211,X,YP
AZARCARPA1,SOSP,2015.0,2711-77212,XG,G
AZARCARPA1,SOSP,2015.0,2711-77213,XO,O
AZARCARPA1,SOSP,2016.0,2741-54805,P,X
BACHMARNC1,CARW,2015.0,2711-64111,WO,X
BACHMARNC1,CARW,2015.0,2711-64112,X,BG
BACHMARNC1,HOWR,2015.0,2750-51215,R,XM
BACHMARNC1,NOCA,2015.0,851-39838,X,GG
BACHMARNC1,NOCA,2016.0,0851-39966,BX,Y
BAERMIKPA1,AMRO,2015.0,1352-45822,O,GX
BAERMIKPA1,AMRO,2016.0,1342-45505,M,XW
BAERMIKPA1,BCCH,2016.0,2750-45310,Y,YX
