siteID,dateVisit,observerVisit,participantEngagement,encounteredBirds,netHours,notesVisit
HAMMBARMD1,2001-03-23,NA,NA,NA,NA,NA
WIKACORMD1,2001-03-26,NA,NA,NA,NA,NA
MARRPETMD1,2001-03-28,NA,NA,NA,NA,NA
MORAJANMD1,2001-04-04,NA,NA,NA,NA,NA
SERCGUEMD1,2001-04-05,NA,NA,NA,NA,NA
DANIBARMD1,2001-04-06,NA,NA,NA,NA,NA
THOMSUEMD1,2001-04-09,NA,NA,NA,NA,NA
OMLAKEVMD1,2001-04-09,NA,NA,NA,NA,NA
RICHLIBMD1,2001-04-10,NA,NA,NA,NA,NA
GARDVALMD1,2001-04-12,NA,NA,NA,NA,NA
GROSJEAMD1,2001-04-12,NA,NA,NA,NA,NA
SUITKATMD1,2001-04-14,NA,NA,NA,NA,NA
WISECELMD1,2001-04-17,NA,NA,NA,NA,NA
MISBJANMD1,2001-04-17,NA,NA,NA,NA,NA
PERRCHRMD1,2001-04-17,NA,NA,NA,NA,NA
BEALTOMMD1,2001-04-18,NA,NA,NA,NA,NA
SPEYPAUMD1,2001-04-18,NA,NA,NA,NA,NA
BURRANDMD1,2001-04-18,NA,NA,NA,NA,NA
HAMIMARMD1,2001-04-18,NA,NA,NA,NA,NA
HELFGAIMD1,2001-04-19,NA,NA,NA,NA,NA
CAINBRIMD1,2001-04-19,NA,NA,NA,NA,NA
WIKACORMD1,2001-04-19,NA,NA,NA,NA,NA
MILLPAUMD1,2001-04-20,NA,NA,NA,NA,NA
DORNROBMD1,2001-04-20,NA,NA,NA,NA,NA
GORDELIDC1,2001-04-21,NA,NA,NA,NA,NA
TINIKATMD1,2001-04-23,NA,NA,NA,NA,NA
GALLTERMD1,2001-04-23,NA,NA,NA,NA,NA
SINGTONMD1,2001-04-24,NA,NA,NA,NA,NA
RICHLIBMD1,2001-04-24,NA,NA,NA,NA,NA
NICHALIMD1,2001-04-24,NA,NA,NA,NA,NA
WELLCARMD1,2001-04-25,NA,NA,NA,NA,NA
HARRPHYMD1,2001-04-25,NA,NA,NA,NA,NA
DAVIALIVA1,2001-04-26,NA,NA,NA,NA,NA
HAMIMARMD1,2001-04-26,NA,NA,NA,NA,NA
VERSBETMD1,2001-04-26,NA,NA,NA,NA,NA
MASORICMD1,2001-04-27,NA,NA,NA,NA,NA
SWANELIMD1,2001-04-27,NA,NA,NA,NA,NA
DORNROBMD1,2001-04-30,NA,NA,NA,NA,NA
FAGABERMD1,2001-04-30,NA,NA,NA,NA,NA
COULMARMD1,2001-05-01,NA,NA,NA,NA,NA
BALAELEMD1,2001-05-01,NA,NA,NA,NA,NA
GARDVALMD1,2001-05-01,NA,NA,NA,NA,NA
HADDMARMD1,2001-05-02,NA,NA,NA,NA,NA
KINDFARMD1,2001-05-02,NA,NA,NA,NA,NA
CAINBRIMD1,2001-05-02,NA,NA,NA,NA,NA
ONTAHOUDC1,2001-05-02,NA,NA,NA,NA,NA
MOSMCARMD1,2001-05-03,NA,NA,NA,NA,NA
KINDFARMD1,2001-05-04,NA,NA,NA,NA,NA
REIRJEAMD1,2001-05-05,NA,NA,NA,NA,NA
BLANBETMD1,2001-05-05,NA,NA,NA,NA,NA
HADDMARMD1,2001-05-07,NA,NA,NA,NA,NA
SULLPAUVA1,2001-05-07,NA,NA,NA,NA,NA
MOLIKARMD1,2001-05-07,NA,NA,NA,NA,NA
PATSNADMD1,2001-05-08,NA,NA,NA,NA,NA
GEHRDALMD1,2001-05-08,NA,NA,NA,NA,NA
ROHRSALMD1,2001-05-08,NA,NA,NA,NA,NA
WILLRAJMD1,2001-05-09,NA,NA,NA,NA,NA
CAUSSUSMD1,2001-05-09,NA,NA,NA,NA,NA
HUNTBRIMD1,2001-05-10,NA,NA,NA,NA,NA
CAMPGLOMD1,2001-05-11,NA,NA,NA,NA,NA
NZPSMBCDC1,2001-05-11,NA,NA,NA,NA,NA
HUNTBRIMD1,2001-05-14,NA,NA,NA,NA,NA
KINDFARMD1,2001-05-14,NA,NA,NA,NA,NA
LUCIDANMD1,2001-05-14,NA,NA,NA,NA,NA
SCHLROBMD1,2001-05-15,NA,NA,NA,NA,NA
REITBOBMD1,2001-05-15,NA,NA,NA,NA,NA
ONTAHOUDC1,2001-05-15,NA,NA,NA,NA,NA
ROHRSALMD1,2001-05-15,NA,NA,NA,NA,NA
PATSNADMD1,2001-05-16,NA,NA,NA,NA,NA
TATEJUAMD1,2001-05-16,NA,NA,NA,NA,NA
GOUGGREMD1,2001-05-17,NA,NA,NA,NA,NA
CARLSHIMD1,2001-05-17,NA,NA,NA,NA,NA
HERBJOAMD1,2001-05-18,NA,NA,NA,NA,NA
CORCJOEMD1,2001-05-18,NA,NA,NA,NA,NA
NAYLMICMD1,2001-05-19,NA,NA,NA,NA,NA
MISBJANMD1,2001-05-22,NA,NA,NA,NA,NA
OWENJOHMD1,2001-05-22,NA,NA,NA,NA,NA
STAVKORMD1,2001-05-23,NA,NA,NA,NA,NA
CAMPROSMD1,2001-05-23,NA,NA,NA,NA,NA
FARYSIMMD1,2001-05-23,NA,NA,NA,NA,NA
WINGJERMD1,2001-05-24,NA,NA,NA,NA,NA
MAHOJIMMD1,2001-05-24,NA,NA,NA,NA,NA
RAUNERIMD1,2001-05-24,NA,NA,NA,NA,NA
KAUFRAYMD1,2001-05-25,NA,NA,NA,NA,NA
GOCHJOAMD1,2001-05-25,NA,NA,NA,NA,NA
LLEISUEDC1,2001-05-29,NA,NA,NA,NA,NA
TAYLGLOMD1,2001-05-30,NA,NA,NA,NA,NA
GELLNERMD1,2001-05-30,NA,NA,NA,NA,NA
EVANMICMD1,2001-05-30,NA,NA,NA,NA,NA
FREYFREMD1,2001-05-30,NA,NA,NA,NA,NA
EVANMICMD1,2001-05-31,NA,NA,NA,NA,NA
OBRICHRMD1,2001-05-31,NA,NA,NA,NA,NA
CAMPGLOMD1,2001-05-31,NA,NA,NA,NA,NA
BAINANDMD1,2001-06-01,NA,NA,NA,NA,NA
DALEELIMD1,2001-06-01,NA,NA,NA,NA,NA
EARLNANMD1,2001-06-01,NA,NA,NA,NA,NA
KORRHARMD1,2001-06-01,NA,NA,NA,NA,NA
BLOCDAVMD1,2001-06-02,NA,NA,NA,NA,NA
SCHOPAUMD1,2001-06-04,NA,NA,NA,NA,NA
JEWELIBMD1,2001-06-04,NA,NA,NA,NA,NA
NORTHESMD1,2001-06-05,NA,NA,NA,NA,NA
GIBSELAMD1,2001-06-05,NA,NA,NA,NA,NA
AMERICOMD1,2001-06-05,NA,NA,NA,NA,NA
MESEBARMD1,2001-06-06,NA,NA,NA,NA,NA
JOHNTHEMD1,2001-06-06,NA,NA,NA,NA,NA
FERRSUEMD1,2001-06-06,NA,NA,NA,NA,NA
SANFCARMD1,2001-06-06,NA,NA,NA,NA,NA
WILELINMD1,2001-06-06,NA,NA,NA,NA,NA
MCKEJANMD1,2001-06-08,NA,NA,NA,NA,NA
LLANMATMD1,2001-06-08,NA,NA,NA,NA,NA
BARBJERMD1,2001-06-08,NA,NA,NA,NA,NA
JONECBRMD1,2001-06-09,NA,NA,NA,NA,NA
LORAJORMD1,2001-06-09,NA,NA,NA,NA,NA
MCCOCHRMD1,2001-06-11,NA,NA,NA,NA,NA
TUFTKATMD1,2001-06-11,NA,NA,NA,NA,NA
OWENJOHMD1,2001-06-11,NA,NA,NA,NA,NA
PERNMIKMD1,2001-06-11,NA,NA,NA,NA,NA
WALTBONMD1,2001-06-12,NA,NA,NA,NA,NA
FUTRIVAVA1,2001-06-12,NA,NA,NA,NA,NA
BEALTOMMD1,2001-06-12,NA,NA,NA,NA,NA
RAYTIMMD1,2001-06-12,NA,NA,NA,NA,NA
CONNBARMD1,2001-06-13,NA,NA,NA,NA,NA
STURCARMD1,2001-06-13,NA,NA,NA,NA,NA
MCKEANNVA1,2001-06-14,NA,NA,NA,NA,NA
BURKSANMD1,2001-06-14,NA,NA,NA,NA,NA
CONAGAIMD1,2001-06-15,NA,NA,NA,NA,NA
COWLANDMD1,2001-06-15,NA,NA,NA,NA,NA
PICKCREMD1,2001-06-15,NA,NA,NA,NA,NA
COLALISMD1,2001-06-15,NA,NA,NA,NA,NA
HUNTDAVMD2,2001-06-15,NA,NA,NA,NA,NA
RUSSJODMD1,2001-06-16,NA,NA,NA,NA,NA
MCCAKEVMD1,2001-06-16,NA,NA,NA,NA,NA
STORPATMD1,2001-06-18,NA,NA,NA,NA,NA
MORAANGMD1,2001-06-18,NA,NA,NA,NA,NA
SPEYPAUMD1,2001-06-18,NA,NA,NA,NA,NA
CORCJOEMD1,2001-06-18,NA,NA,NA,NA,NA
BRUEELIMD1,2001-06-18,NA,NA,NA,NA,NA
REIKROBMD1,2001-06-18,NA,NA,NA,NA,NA
STANJEFMD1,2001-06-18,NA,NA,NA,NA,NA
BEALTOMMD1,2001-06-19,NA,NA,NA,NA,NA
BARNDORMD1,2001-06-19,NA,NA,NA,NA,NA
ANDEMIKMD1,2001-06-19,NA,NA,NA,NA,NA
BERNCHRMD1,2001-06-19,NA,NA,NA,NA,NA
MALLBARMD1,2001-06-19,NA,NA,NA,NA,NA
BURNNANMD1,2001-06-19,NA,NA,NA,NA,NA
SHEEMARMD1,2001-06-20,NA,NA,NA,NA,NA
COLSKATMD1,2001-06-20,NA,NA,NA,NA,NA
MERRJOAMD1,2001-06-20,NA,NA,NA,NA,NA
RABIANDMD1,2001-06-20,NA,NA,NA,NA,NA
ANDRKENVA1,2001-06-20,NA,NA,NA,NA,NA
SCOLWENMD1,2001-06-21,NA,NA,NA,NA,NA
MCGHDENMD1,2001-06-21,NA,NA,NA,NA,NA
MISSEDDC1,2001-06-22,NA,NA,NA,NA,NA
EDEREDWVA1,2001-06-22,NA,NA,NA,NA,NA
MANNJANDC1,2001-06-22,NA,NA,NA,NA,NA
HUTCBARVA1,2001-06-22,NA,NA,NA,NA,NA
FUTRIVAVA1,2001-06-23,NA,NA,NA,NA,NA
HARWRANDC1,2001-06-25,NA,NA,NA,NA,NA
CAMPGLOMD1,2001-06-25,NA,NA,NA,NA,NA
SALOSHEMD1,2001-06-25,NA,NA,NA,NA,NA
LERNJEFMD1,2001-06-26,NA,NA,NA,NA,NA
MUTRCYNMD1,2001-06-26,NA,NA,NA,NA,NA
BROWANNMD1,2001-06-26,NA,NA,NA,NA,NA
BROWANNDC1,2001-06-26,NA,NA,NA,NA,NA
TUNICATMD1,2001-06-27,NA,NA,NA,NA,NA
URBABETMD1,2001-06-28,NA,NA,NA,NA,NA
DRAKBERMD1,2001-06-28,NA,NA,NA,NA,NA
MCCOJOHMD1,2001-06-29,NA,NA,NA,NA,NA
REITBOBMD1,2001-07-02,NA,NA,NA,NA,NA
HUNTDAVMD2,2001-07-02,NA,NA,NA,NA,NA
UNGELAUDC1,2001-07-03,NA,NA,NA,NA,NA
GOMEKARMD1,2001-07-03,NA,NA,NA,NA,NA
JACOAMYMD1,2001-07-06,NA,NA,NA,NA,NA
ODELVINMD1,2001-07-09,NA,NA,NA,NA,NA
WOODELEVA1,2001-07-10,NA,NA,NA,NA,NA
WOODPAUVA1,2001-07-10,NA,NA,NA,NA,NA
BARBJERMD1,2001-07-13,NA,NA,NA,NA,NA
RICHLIBMD1,2001-07-30,NA,NA,NA,NA,NA
MARRPETMD1,2001-08-01,NA,NA,NA,NA,NA
LLANMATMD1,2001-08-07,NA,NA,NA,NA,NA
REILJENMD1,2001-08-09,NA,NA,NA,NA,NA
REITBOBMD1,2001-08-22,NA,NA,NA,NA,NA
GROSJEAMD1,2001-08-29,NA,NA,NA,NA,NA
OMLAKEVMD1,2001-09-04,NA,NA,NA,NA,NA
MCLERICMD1,2001-09-07,NA,NA,NA,NA,NA
CAMPGLOMD1,2002-03-15,NA,NA,NA,NA,NA
BROWANNDC1,2002-04-09,NA,NA,NA,NA,NA
MERRJOAMD1,2002-04-17,NA,NA,NA,NA,NA
BROWANNDC1,2002-04-17,NA,NA,NA,NA,NA
SEMMLUTMD1,2002-04-18,NA,NA,NA,NA,NA
JEWELIBMD1,2002-04-18,NA,NA,NA,NA,NA
COLALISMD1,2002-04-19,NA,NA,NA,NA,NA
RUSSJODMD1,2002-04-20,NA,NA,NA,NA,NA
MORAANGMD1,2002-04-21,NA,NA,NA,NA,NA
GILLEVAMD1,2002-04-23,NA,NA,NA,NA,NA
MCGHDENMD1,2002-04-24,NA,NA,NA,NA,NA
COLSKATMD1,2002-04-26,NA,NA,NA,NA,NA
GOMEKARMD1,2002-04-26,NA,NA,NA,NA,NA
MCCOJOHMD1,2002-04-27,NA,NA,NA,NA,NA
BERNCHRMD1,2002-04-28,NA,NA,NA,NA,NA
URBABETMD1,2002-04-30,NA,NA,NA,NA,NA
SHEEMARMD1,2002-05-01,NA,NA,NA,NA,NA
REITBOBMD1,2002-05-01,NA,NA,NA,NA,NA
MARRPETMD1,2002-05-02,NA,NA,NA,NA,NA
ANDEMIKMD1,2002-05-03,NA,NA,NA,NA,NA
BERGMICMD1,2002-05-04,NA,NA,NA,NA,NA
WALTBONMD1,2002-05-06,NA,NA,NA,NA,NA
PICKCREMD1,2002-05-07,NA,NA,NA,NA,NA
SERCGUEMD1,2002-05-07,NA,NA,NA,NA,NA
BERNCHRMD1,2002-05-08,NA,NA,NA,NA,NA
BURNNANMD1,2002-05-08,NA,NA,NA,NA,NA
REUTSHAMD1,2002-05-09,NA,NA,NA,NA,NA
WOODPAUVA1,2002-05-09,NA,NA,NA,NA,NA
COWLANDMD1,2002-05-10,NA,NA,NA,NA,NA
BERNCHRMD1,2002-05-10,NA,NA,NA,NA,NA
WISECELMD1,2002-05-10,NA,NA,NA,NA,NA
FREYFREMD1,2002-05-11,NA,NA,NA,NA,NA
BEALTOMMD1,2002-05-12,NA,NA,NA,NA,NA
ODELVINMD1,2002-05-13,NA,NA,NA,NA,NA
LERNJEFMD1,2002-05-13,NA,NA,NA,NA,NA
REIKROBMD1,2002-05-14,NA,NA,NA,NA,NA
BARNDORMD1,2002-05-15,NA,NA,NA,NA,NA
MUTRCYNMD1,2002-05-16,NA,NA,NA,NA,NA
REUTSHAMD1,2002-05-16,NA,NA,NA,NA,NA
SHAYSARMD1,2002-05-17,NA,NA,NA,NA,NA
JACOAMYMD1,2002-05-19,NA,NA,NA,NA,NA
BARBJERMD1,2002-05-20,NA,NA,NA,NA,NA
JOHNTHEMD1,2002-05-21,NA,NA,NA,NA,NA
SANFCARMD1,2002-05-21,NA,NA,NA,NA,NA
PERNMIKMD1,2002-05-22,NA,NA,NA,NA,NA
SALOSHEMD1,2002-05-22,NA,NA,NA,NA,NA
GARDVALMD1,2002-05-23,NA,NA,NA,NA,NA
ANDRKENVA1,2002-05-24,NA,NA,NA,NA,NA
MCCAKEVMD1,2002-05-24,NA,NA,NA,NA,NA
SCOLWENMD1,2002-05-26,NA,NA,NA,NA,NA
KINDFARMD1,2002-05-26,NA,NA,NA,NA,NA
HAMMBARMD1,2002-05-27,NA,NA,NA,NA,NA
RICHLIBMD1,2002-05-28,NA,NA,NA,NA,NA
THOMSUEMD1,2002-05-28,NA,NA,NA,NA,NA
REILJENMD1,2002-05-29,NA,NA,NA,NA,NA
CONAGAIMD1,2002-05-29,NA,NA,NA,NA,NA
HUNTDAVMD2,2002-05-29,NA,NA,NA,NA,NA
RAYTIMMD1,2002-05-30,NA,NA,NA,NA,NA
KOSLDREMD1,2002-05-30,NA,NA,NA,NA,NA
MANNJANDC1,2002-05-30,NA,NA,NA,NA,NA
TUFTKATMD1,2002-05-31,NA,NA,NA,NA,NA
FOLEMARMD1,2002-05-31,NA,NA,NA,NA,NA
PERRCHRMD1,2002-05-31,NA,NA,NA,NA,NA
LLANMATMD1,2002-06-01,NA,NA,NA,NA,NA
REILJENMD1,2002-06-01,NA,NA,NA,NA,NA
WIKACORMD1,2002-06-01,NA,NA,NA,NA,NA
DALEELIMD1,2002-06-02,NA,NA,NA,NA,NA
GOCHJOAMD1,2002-06-02,NA,NA,NA,NA,NA
STORPATMD1,2002-06-04,NA,NA,NA,NA,NA
OMLAKEVMD1,2002-06-04,NA,NA,NA,NA,NA
FERRSUEMD1,2002-06-05,NA,NA,NA,NA,NA
EARLNANMD1,2002-06-05,NA,NA,NA,NA,NA
NATIGALDC1,2002-06-05,NA,NA,NA,NA,NA
NORTHESMD1,2002-06-06,NA,NA,NA,NA,NA
HAMIMARMD1,2002-06-07,NA,NA,NA,NA,NA
MCCOCHRMD1,2002-06-07,NA,NA,NA,NA,NA
SINGTONMD1,2002-06-08,NA,NA,NA,NA,NA
MOSMCARMD1,2002-06-08,NA,NA,NA,NA,NA
NICHALIMD1,2002-06-09,NA,NA,NA,NA,NA
VERSBETMD2,2002-06-09,NA,NA,NA,NA,NA
DORNROBMD1,2002-06-11,NA,NA,NA,NA,NA
SPEYPAUMD1,2002-06-11,NA,NA,NA,NA,NA
MCKEJANMD1,2002-06-12,NA,NA,NA,NA,NA
MESEBARMD1,2002-06-12,NA,NA,NA,NA,NA
KINDFARMD1,2002-06-13,NA,NA,NA,NA,NA
MAGNDAVMD1,2002-06-13,NA,NA,NA,NA,NA
BAINANDMD1,2002-06-17,NA,NA,NA,NA,NA
SWANELIMD1,2002-06-17,NA,NA,NA,NA,NA
COULMARMD1,2002-06-17,NA,NA,NA,NA,NA
BRIGKIMMD1,2002-06-17,NA,NA,NA,NA,NA
MOLIKARMD1,2002-06-17,NA,NA,NA,NA,NA
MEGOPATMD1,2002-06-18,NA,NA,NA,NA,NA
REIKROBMD1,2002-06-18,NA,NA,NA,NA,NA
KAUFRAYMD1,2002-06-19,NA,NA,NA,NA,NA
HUNTBRIMD1,2002-06-19,NA,NA,NA,NA,NA
GOUGGREMD1,2002-06-20,NA,NA,NA,NA,NA
SCHOPAUMD1,2002-06-20,NA,NA,NA,NA,NA
MISBJANMD1,2002-06-20,NA,NA,NA,NA,NA
GIBSELAMD1,2002-06-20,NA,NA,NA,NA,NA
CAMPGLOMD1,2002-06-20,NA,NA,NA,NA,NA
GELLNERMD1,2002-06-21,NA,NA,NA,NA,NA
KORRHARMD1,2002-06-21,NA,NA,NA,NA,NA
EVANMICMD1,2002-06-21,NA,NA,NA,NA,NA
STANJEFMD1,2002-06-21,NA,NA,NA,NA,NA
REIRJEAMD1,2002-06-22,NA,NA,NA,NA,NA
LUCIDANMD1,2002-06-22,NA,NA,NA,NA,NA
WILLRAJMD1,2002-06-22,NA,NA,NA,NA,NA
MILLPAUMD1,2002-06-22,NA,NA,NA,NA,NA
BLANBETMD1,2002-06-22,NA,NA,NA,NA,NA
BLOCDAVMD1,2002-06-23,NA,NA,NA,NA,NA
CLARKELMD1,2002-06-23,NA,NA,NA,NA,NA
BRIGPAUMD1,2002-06-23,NA,NA,NA,NA,NA
CAUSSUSMD1,2002-06-23,NA,NA,NA,NA,NA
HARWRANDC1,2002-06-24,NA,NA,NA,NA,NA
EVANMICMD1,2002-06-24,NA,NA,NA,NA,NA
CONNBARMD1,2002-06-24,NA,NA,NA,NA,NA
CARLSHIMD1,2002-06-24,NA,NA,NA,NA,NA
SCHILYDMD1,2002-06-25,NA,NA,NA,NA,NA
MAHOJIMMD1,2002-06-26,NA,NA,NA,NA,NA
HADDMARMD1,2002-06-26,NA,NA,NA,NA,NA
BURKSANMD1,2002-06-27,NA,NA,NA,NA,NA
JONECBRMD1,2002-06-28,NA,NA,NA,NA,NA
ZENKBOBMD1,2002-06-29,NA,NA,NA,NA,NA
OBRICHRMD1,2002-06-29,NA,NA,NA,NA,NA
RAUNERIMD1,2002-07-01,NA,NA,NA,NA,NA
FAGABERMD1,2002-07-01,NA,NA,NA,NA,NA
OWENJOHMD1,2002-07-01,NA,NA,NA,NA,NA
UNGELAUDC1,2002-07-02,NA,NA,NA,NA,NA
SCHLROBMD1,2002-07-02,NA,NA,NA,NA,NA
NZPSMBCDC1,2002-07-02,NA,NA,NA,NA,NA
MCKEANNVA1,2002-07-03,NA,NA,NA,NA,NA
SULLPAUVA1,2002-07-03,NA,NA,NA,NA,NA
CONAGAIMD1,2002-07-03,NA,NA,NA,NA,NA
KAUFLAUMD1,2002-07-03,NA,NA,NA,NA,NA
EDEREDWVA1,2002-07-03,NA,NA,NA,NA,NA
HUTCBARVA1,2002-07-03,NA,NA,NA,NA,NA
FUTRIVAVA1,2002-07-04,NA,NA,NA,NA,NA
STAVKORMD1,2002-07-04,NA,NA,NA,NA,NA
GROSJEAMD1,2002-07-05,NA,NA,NA,NA,NA
LORAJORMD1,2002-07-06,NA,NA,NA,NA,NA
BRENSTEMD1,2002-07-06,NA,NA,NA,NA,NA
CAMPROSMD1,2002-07-07,NA,NA,NA,NA,NA
MURTERIMD1,2002-07-08,NA,NA,NA,NA,NA
MCLERICMD1,2002-07-08,NA,NA,NA,NA,NA
WINGJERMD1,2002-07-09,NA,NA,NA,NA,NA
GEHRDALMD1,2002-07-09,NA,NA,NA,NA,NA
CANTBOBMD1,2002-07-10,NA,NA,NA,NA,NA
HERBJOAMD1,2002-07-11,NA,NA,NA,NA,NA
TINIKATMD1,2002-07-11,NA,NA,NA,NA,NA
NAYLMICMD1,2002-07-12,NA,NA,NA,NA,NA
WILELINMD1,2002-07-12,NA,NA,NA,NA,NA
GALLTERMD1,2002-07-12,NA,NA,NA,NA,NA
WELLCARMD1,2002-07-13,NA,NA,NA,NA,NA
FARYSIMMD1,2002-07-15,NA,NA,NA,NA,NA
MILLJOEMD1,2002-07-16,NA,NA,NA,NA,NA
THOMSUEMD1,2002-07-17,NA,NA,NA,NA,NA
BAINANDMD1,2002-07-17,NA,NA,NA,NA,NA
TATEJUAMD1,2002-07-18,NA,NA,NA,NA,NA
STURCARMD1,2002-07-19,NA,NA,NA,NA,NA
SCHLROBMD1,2002-07-22,NA,NA,NA,NA,NA
KRAMPAUMD1,2002-07-25,NA,NA,NA,NA,NA
LLEISUEDC1,2002-07-25,NA,NA,NA,NA,NA
BORGRACMD1,2002-07-29,NA,NA,NA,NA,NA
BALAELEMD1,2002-07-30,NA,NA,NA,NA,NA
CAUSSUSMD1,2002-07-31,NA,NA,NA,NA,NA
BARBJERMD1,2002-08-01,NA,NA,NA,NA,NA
MCKEJANMD1,2002-08-02,NA,NA,NA,NA,NA
UNK,2002-08-05,NA,NA,NA,NA,NA
COLALISMD1,2002-08-05,NA,NA,NA,NA,NA
BLOCDAVMD1,2002-08-06,NA,NA,NA,NA,NA
FREYFREMD1,2002-08-07,NA,NA,NA,NA,NA
COWLANDMD1,2002-08-08,NA,NA,NA,NA,NA
EDEREDWVA1,2002-08-09,NA,NA,NA,NA,NA
GARDVALMD1,2002-08-12,NA,NA,NA,NA,NA
CONAGAIMD1,2002-08-13,NA,NA,NA,NA,NA
KINDFARMD1,2002-08-14,NA,NA,NA,NA,NA
GOUGGREMD1,2002-08-15,NA,NA,NA,NA,NA
MAHOJIMMD1,2002-08-16,NA,NA,NA,NA,NA
HAMIMARMD1,2002-08-19,NA,NA,NA,NA,NA
MCCOJOHMD1,2002-08-20,NA,NA,NA,NA,NA
HUNTBRIMD1,2002-08-21,NA,NA,NA,NA,NA
GOCHJOAMD1,2002-08-22,NA,NA,NA,NA,NA
MCGHDENMD1,2002-08-23,NA,NA,NA,NA,NA
WIKACORMD1,2002-08-26,NA,NA,NA,NA,NA
MCLERICMD1,2002-08-27,NA,NA,NA,NA,NA
HUNTDAVMD2,2002-08-30,NA,NA,NA,NA,NA
GIBSELAMD1,2002-09-03,NA,NA,NA,NA,NA
GILLEVAMD1,2002-09-04,NA,NA,NA,NA,NA
BERNCHRMD1,2002-09-05,NA,NA,NA,NA,NA
ODELVINMD1,2002-09-09,NA,NA,NA,NA,NA
NORTHESMD1,2002-09-11,NA,NA,NA,NA,NA
SPEYPAUMD1,2002-09-12,NA,NA,NA,NA,NA
GIBSELAMD1,2002-09-13,NA,NA,NA,NA,NA
MISBJANMD1,2002-09-13,NA,NA,NA,NA,NA
THOMSUEMD1,2002-09-16,NA,NA,NA,NA,NA
SCHLROBMD1,2002-09-17,NA,NA,NA,NA,NA
BARBJERMD1,2002-09-18,NA,NA,NA,NA,NA
MUTRCYNMD1,2002-09-19,NA,NA,NA,NA,NA
STURCARMD1,2002-09-20,NA,NA,NA,NA,NA
BALAELEMD1,2002-09-23,NA,NA,NA,NA,NA
