siteIDPartRs,datePartRs,bandNumberPartRs,typePartRs,notesPartRs
STEWBETMD1,2009-05-29,2301-56640,P,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 29 May"
STEWBETMD1,2015-03-15,2730-24729,P,"yearColumn = 2014, banded 5/17/2014; yearColumn = 2015, resighted by participant"
STEWBETMD1,2015-05-10,2661-31539,P,"yearColumn = 2014, banded 5/5/2014; yearColumn = 2015, resighted by particpant 10 May"
STEWBETMD1,2016-07-02,2651-47550,P,noData
STEWBETMD1,2016-07-02,2651-51589,P,noData
STEWBETMD1,2016-08-20,2710-54232,P,noData
STEWBETMD1,2016-08-20,2710-54233,P,noData
STEWBETMD1,2017-02-20,2750-41362,P,This chickadee was still wearing the backpack transmitter that was put on her last year.
STEWBETMD1,2017-04-01,2710-54233,P,This bird is in the process of building a nest in one of our nest boxes.
STORLISPA1,2017-02-22,2741-54874,P,noData
STUECHRVA2,2011-05-08,2421-11404,P,"yearColumn = 2010, banded 6/5/10; yearColumn = 2011, resighted by participant 8 May"
STURCARMD1,2003-01-12,2250-24386,P,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resight 12 Jan"
STURCARMD1,2003-01-13,8001-21365,P,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resighted by participant 13 Jan"
STURCARMD1,2003-04-04,2250-24393,P,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resight 4 April"
STURCARMD1,2006-04-20,2370-05690,P,"yearColumn = 2005, banded 12 July; yearColumn = 2006, resighted by participant 20 April"
STURCARMD1,2010-04-10,742-29175,P,"yearColumn = 2008, banded 2 july; yearColumn = 2010, resighted by participant 10 April"
STURCARMD1,2013-05-15,2590-83054,P,"yearColumn = 2012, Banded 5/26/2012; yearColumn = 2013, resighted by participant late May"
STURCARMD1,2013-06-04,2421-34609,P,"yearColumn = 2012, Banded 5/26/2012; yearColumn = 2013, resighted by participant 4 June"
STURCARMD1,2013-06-04,2421-34610,P,"yearColumn = 2012, Banded 5/26/2012; yearColumn = 2013, resighted by participant 4 June"
STURCARMD1,2013-06-04,2590-83055,P,"yearColumn = 2012, Banded 5/26/2012; yearColumn = 2013, resighted by participant 4 June"
SUBRSTEMD1,2015-03-15,2641-63793,P,"yearColumn = 2014, banded 7/1/2014; yearColumn = 2015, resighted by participant"
SULLPAUVA1,2004-06-14,1811-58700,P,"yearColumn = 2003, banded 26 June; yearColumn = 2004, resighted 14 June by participant"
SVECSTEMA1,2016-01-03,2571-83140,N,"rsNeighbor BBL, 154 Grandview Ave, West Springfield, MA"
SWALDAWGA1,2015-08-01,2651-47357,P,noData
SWALDAWGA1,2015-08-06,2711-54871,P,noData
SWALDAWGA1,2015-08-06,2750-41625,P,noData; NA
SWALDAWGA1,2015-09-07,2750-41625,P,noData; NA
SWALDAWGA1,2015-09-08,2711-54871,P,noData
SWALDAWGA1,2015-09-09,2651-47357,P,noData
SWALDAWGA1,2015-11-02,2651-47357,P,noData
SWALDAWGA1,2015-11-02,2711-54871,P,noData
SWALDAWGA1,2015-11-03,2750-41625,P,noData; NA
SWALDAWGA1,2015-12-22,2711-54871,P,noData
SWALDAWGA1,2015-12-26,2651-47357,P,noData
SWALDAWGA1,2015-12-26,2750-41625,P,noData
SWALDAWGA1,2016-02-18,2750-41625,P,noData
SWALDAWGA1,2016-05-05,2711-57718,P,noData
SWALDAWGA1,2016-05-05,2750-41421,P,noData
SWALDAWGA1,2016-07-15,2711-57718,P,noData
SWALDAWGA1,2016-07-15,2750-41421,P,noData
SWALDAWGA1,2016-09-30,2711-57718,P,noData
SWALDAWGA1,2016-09-30,2750-41421,P,noData
SWALDAWGA1,2016-10-01,2651-52418,P,noData
SWALDAWGA1,2017-01-03,2651-52419,p,noData
SWALDAWGA1,2017-03-02,2651-52419,P,noData
SWALDAWGA1,2017-04-10,2711-57718,P,noData
SWALDAWGA1,2017-04-18,2651-47357,P,noData
SWALDAWGA1,2017-05-07,2651-52420,P,noData
SWALDAWGA1,2017-06-16,2651-47357,P,noData
SWALDAWGA1,2017-06-18,2651-52420,P,noData
SWALDAWGA1,2017-06-20,2711-77933,P,noData
SWALDAWGA1,2017-06-28,1372-29621,P,noData
SWALDAWGA1,2017-06-29,2710-25731,P,noData
SWALDAWGA1,2017-06-29,2750-41421,P,noData
SWALDAWGA1,2017-08-30,2710-25731,P,noData
SWALDAWGA1,2017-08-30,2711-77933,P,noData
SWALDAWGA1,2017-08-31,2671-01975,P,noData
SWALDAWGA1,2017-09-13,2651-47357,P,noData
SWALDAWGA1,2017-09-23,2671-01975,P,noData
SWALDAWGA1,2017-10-10,2710-25731,P,noData
SWALDAWGA1,2017-10-10,2711-77933,P,noData
TABACARPA1,2016-04-22,2661-31449,P,Wherever I answered A it was written as X on my visit record. I took X to be silver/ aluminum
TABACARPA1,2017-02-16,1352-46358,P,Wherever I answered A it was written as X on my visit record. I took X to be silver/ aluminum
TABACARPA1,2017-03-28,2661-31448,P,Wherever I answered A it was written as X on my visit record. I took X to be silver/ aluminum
TABARENPA1,2014-09-13,2331-40282,P,noData
TALEKELGA1,2015-06-27,1342-16733,P,noData
TALEKELGA1,2015-07-24,1342-16734,P,noData
TALEKELGA1,2016-06-18,2651-52447,P,The cardinal is also an almost daily visitor.
TALEKELGA1,2016-06-23,2711-57734,P,The wren has been a frequent visitor in June. Seen almost daily.
TALEKELGA1,2016-07-16,2711-57734,P,noData
TALEKELGA1,2016-07-23,2651-52447,P,noData
TALEKELGA1,2016-08-06,2651-52447,P,noData
TALEKELGA1,2016-08-06,2711-57734,P,noData
TALEKELGA1,2016-10-04,2651-52447,P,noData
TALEKELGA1,2016-10-07,2711-57734,P,noData
TALEKELGA1,2016-12-21,2711-57734,P,noData
TALEKELGA1,2017-01-18,2711-57734,P,noData
TALEKELGA1,2017-07-10,2711-77908,P,No bands on left leg
TANGLAUDC1,2016-04-09,2651-56781,P,Still missing tail feathers
TAYLJERNC1,2016-05-02,851-39898,P,noData
TEAMKARPA1,2015-08-03,2711-77379,P,noData
TEAMKARPA1,2015-11-11,2750-64089,P,noData
TEAMKARPA1,2015-11-13,2711-77386,P,noData
TEAMKARPA1,2015-11-27,2711-77379,P,noData
TEAMKARPA1,2015-12-15,2711-77386,P,noData
TEAMKARPA1,2015-12-25,2750-64089,P,There was no band on the right leg.  I put A because it required response for right bottom band and no band was not an option.; NA
TEAMKARPA1,2016-02-10,2651-56607,P,noData
TEAMKARPA1,2016-02-10,2711-77386,P,noData
TEAMKARPA1,2016-04-20,2711-77379,P,noData
TEAMKARPA1,2016-05-14,2701-39404,P,noData
TEAMKARPA1,2016-08-16,2730-31378,P,noData
TEAMKARPA1,2016-09-05,2730-31378,P,noData
TEAMKARPA1,2016-10-09,2730-31378,P,noData
TEAMKARPA1,2016-11-09,2730-31378,P,noData
TEAMKARPA1,2016-12-29,2711-77386,P,noData
TEAMKARPA1,2016-12-29,2730-31378,P,noData
TEAMKARPA1,2017-02-09,2711-77386,P,noData
TEAMKARPA1,2017-03-15,2711-77386,P,noData
TEAMKARPA1,2017-09-15,2730-31378,P,noData
THOMDEBPA1,2015-02-15,2441-14806,P,This is the bird with the Band #2441-14806.  Has been at my feeder every day since Feb 10.
THOMDEBPA1,2015-07-23,2441-14806,P,noData
THOMDEBPA1,2016-09-29,2441-14806,P,Bird # 2441-14896  My sheet shows an X for the bottom right leg band on this bird. No band was listed for the bottom left leg. Have seen this bird over and over.
THOMDEBPA1,2017-01-13,2441-14806,P,This is bird with band #2441-14806
THOMDEBPA1,2017-02-16,2750-63963,P,Pretty sure this is bird 2750-63963
THOMDEBPA1,2017-04-26,2750-63962,P,Band #2750-63962
THOMDEBPA1,2017-06-04,2441-14806,P,noData
THOMDEBPA1,2017-06-05,2750-63962,P,noData
THOMDEBPA1,2017-06-16,2750-63962,N,"My neighbor from across the street and down one house saw this bird at her feeder.  I told her she could enter the data, but she said she didn't want to, she'd rather I did.  She did say she'd keep looking for banded birds for me.  So I'm glad to report them for her."
THOMDEBPA1,2017-06-23,2441-14806,P,noData
THOMDEBPA1,2017-07-01,2441-14805,P,noData
THOMDEBPA1,2017-09-20,2750-63962,P,noData
THOMMARDC1,2017-03-10,2441-14151,N,"BBL mediated encounter, 330m from backyard site"
THOMSUEMD1,2003-04-15,2250-24363,P,"yearColumn = 2002, banded 16 Sept; yearColumn = 2003, resighted Spring 2003."
THOMSUEMD1,2003-04-15,2250-24364,P,"yearColumn = 2002, banded 16 Sept; yearColumn = 2003, resighted Spring 2003."
THOMSUEMD1,2003-05-20,1801-09695,P,"yearColumn = 2002, banded 16 Sept; yearColumn = 2003, resighted 20 May"
THOMSUEMD1,2009-05-03,2400-00700,P,"yearColumn = 2007, Banded 7 June; yearColumn = 2009, resighted 5/3/09 by participant"
TINIKATMD1,2009-03-15,2460-22824,P,"yearColumn = 2007, banded 4 june; yearColumn = 2009, Resighted by Participant"
TOSCPAMMA1,2015-05-03,2371-04377,P,noData
TOSCPAMMA1,2015-05-07,2651-17135,P,noData
TRAUPATVA2,2014-06-13,2531-90243,P,"It was hard to see if there are other bands, but the bright PINK is obvious on this female cardinal."
TRAUPATVA2,2015-05-24,2531-90243,P,"yearColumn = 2013, banded 7/26/2013; yearColumn = 2015, resighted by participant 24 May"
TUFTKATMD1,2003-03-24,791-17801,P,"yearColumn = 2000, banded 7 June; yearColumn = 2001, resight 2 April; yearColumn = 2002, resight 1 August; yearColumn = 2003, resight 24 march by participant"
TUFTKATMD1,2003-04-08,2250-24052,P,"yearColumn = 2001, banded 11 June; yearColumn = 2002, recaptured 31 May; yearColumn = 2003, resighted 8 April by participant; yearColumn = 2004, resighted 2 July"
TUFTKATMD1,2003-04-15,2250-24051,P,"yearColumn = 2001, banded 11 June; yearColumn = 2002, resighted 31 May; yearColumn = 2003, resighted by participant spring 2003"
TUFTKATMD1,2004-04-15,2250-24984,P,"yearColumn = 2003, banded 29 May; yearColumn = 2004, resighted by participant April; yearColumn = 2007, banded 25 June"
VASAJODPA1,2015-07-02,1342-74124,P,noData
VASAJODPA1,2015-07-03,1342-74123,P,Band Number 1342-74123
VASAJODPA1,2015-07-03,2711-77248,P,noData
VASAJODPA1,2016-03-19,2711-77248,P,Band number 2711-77248
VASAJODPA1,2016-06-05,2711-77248,P,noData
VASAJODPA1,2016-11-05,2750-45348,P,noData
VASAJODPA1,2016-11-05,2750-45349,P,noData
VASAJODPA1,2017-02-03,2750-45349,P,noData
VASAJODPA1,2017-03-31,2750-45348,P,noData
VASAJODPA1,2017-04-02,2750-45349,P,noData
VASAJODPA1,2017-04-06,2711-77248,P,noData
VERSBETMD1,2002-06-09,1141-05782,P,"yearColumn = 2001, banded 26 April; yearColumn = 2002, resighted 9 June"
VERSBETMD2,2005-03-15,1751-09312,P,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant; yearColumn = 2006, resighted by participant 31 March"
VERSBETMD2,2005-03-15,1751-09313,P,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant"
VERSBETMD2,2006-03-31,1751-09312,P,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant; yearColumn = 2006, resighted by participant 31 March"
VERSBETMD2,2006-07-05,2241-17612,P,"yearColumn = 2005, banded 26 May; yearColumn = 2006, resighted by participant 5 July; yearColumn = 2007, Recapture 12 June; yearColumn = 2008, resighted by particpant 19 April"
VERSBETMD2,2008-04-19,2241-17612,P,"yearColumn = 2005, banded 26 May; yearColumn = 2006, resighted by participant 5 July; yearColumn = 2007, Recapture 12 June; yearColumn = 2008, resighted by particpant 19 April"
